126,149,157,180,182,189,212,215,232,235,237,267,271,274,288,297,319,321,345,354,356,378,380,400,402,410,426,433,436,440,442,458,466,484,488,514,518,520,522,551,565,570,596,599,602,605,631,635,655,657
154,157,179,184,189,205,209,215,235,238,241,258,261,267,272,319,321,326,329,345,352,378,398,402,408,410,412,414,428,432,434,458,464,466,490,514,523,525,544,546,549,568,575,594,598,600,605,608,655,659
126,156,179,186,189,208,211,234,242,244,265,274,287,290,296,298,316,322,328,346,351,353,376,382,401,407,412,432,436,442,454,458,467,484,488,491,521,524,547,568,570,572,576,578,594,608,628,632,653,658
128,150,160,180,183,185,215,218,233,235,238,241,271,287,289,302,319,321,323,326,328,352,373,375,383,406,408,427,431,438,461,463,468,470,485,494,517,520,539,541,565,572,574,578,581,598,603,632,653,656
128,153,185,189,204,208,211,215,241,262,265,267,273,287,291,299,345,351,353,356,376,382,402,406,426,436,438,440,442,456,458,461,490,492,521,539,542,544,546,551,565,575,581,596,598,600,604,606,655,659
150,155,158,180,188,203,211,213,233,235,244,265,267,270,274,296,318,326,328,342,344,347,350,352,382,400,403,408,414,434,440,454,459,463,465,485,495,517,524,539,543,547,549,598,601,603,606,632,652,656
153,156,159,182,205,207,212,215,236,246,261,267,272,290,297,320,342,344,346,353,355,376,378,401,407,409,412,432,454,458,463,465,470,484,488,495,518,521,541,547,572,579,594,597,601,604,630,633,653,656
156,158,178,181,189,210,212,214,231,244,262,265,267,288,298,300,322,324,330,346,354,372,376,380,398,406,410,412,432,436,456,458,462,466,492,496,510,514,516,526,548,551,573,577,596,599,602,631,635,655
156,180,203,211,213,215,218,233,236,265,268,272,290,302,316,326,342,348,350,352,374,384,406,408,410,427,429,431,441,461,465,485,491,495,517,524,539,542,575,577,581,594,596,600,606,626,629,631,655,660
153,159,178,182,184,207,238,243,258,269,288,290,292,295,299,301,344,346,349,354,375,380,406,410,412,426,432,435,442,456,458,464,466,488,514,521,537,539,546,551,570,572,575,608,626,628,630,632,652,684
150,155,158,180,188,203,211,213,233,235,244,265,267,270,274,296,318,326,328,342,344,347,350,352,382,400,403,408,414,434,440,454,459,463,465,485,495,517,524,539,543,547,549,598,601,603,606,632,652,656
153,156,159,182,205,207,212,215,236,246,261,267,272,290,297,320,342,344,346,353,355,376,378,401,407,409,412,432,454,458,463,465,470,484,488,495,518,521,541,547,572,579,594,597,601,604,630,633,653,656
156,158,178,181,189,210,212,214,231,244,262,265,267,288,298,300,322,324,330,346,354,372,376,380,398,406,410,412,432,436,456,458,462,466,492,496,510,514,516,526,548,551,573,577,596,599,602,631,635,655
156,180,203,211,213,215,218,233,236,265,268,272,290,302,316,326,342,348,350,352,374,384,406,408,410,427,429,431,441,461,465,485,491,495,517,524,539,542,575,577,581,594,596,600,606,626,629,631,655,660
153,159,178,182,184,207,238,243,258,269,288,290,292,295,299,301,344,346,349,354,375,380,406,410,412,426,432,435,442,456,458,464,466,488,514,521,537,539,546,551,570,572,575,608,626,628,630,632,652,684
127,150,180,183,186,209,216,231,239,261,269,274,290,292,295,299,325,342,344,346,356,376,379,401,408,410,414,427,433,440,458,465,488,491,495,517,521,524,537,539,541,547,598,601,603,606,625,632,656,658
152,158,181,183,189,213,232,235,237,243,261,268,291,293,298,300,302,323,342,345,347,352,354,404,406,408,410,412,428,430,442,461,463,465,482,486,518,520,522,524,568,571,575,578,581,594,600,626,630,660
153,158,178,182,184,189,207,215,237,240,242,258,262,266,272,274,288,318,320,325,327,344,351,374,376,406,409,411,428,435,441,454,458,461,492,516,522,540,542,546,553,572,576,594,602,606,625,628,631,657
152,157,182,203,213,216,233,236,238,267,269,292,299,301,318,323,325,342,344,376,380,382,400,402,432,434,436,438,440,454,458,470,488,490,495,512,514,521,573,575,578,581,594,596,599,604,629,655,658,660
153,156,158,205,208,211,213,215,260,265,268,274,290,298,300,342,346,349,352,354,372,375,384,406,408,410,429,432,442,465,483,488,491,496,514,517,540,547,549,551,572,581,594,597,601,603,605,653,656,659
126,149,157,180,182,189,212,215,232,235,237,267,271,274,288,297,319,321,345,354,356,378,380,400,402,410,426,433,436,440,442,458,466,484,488,514,518,520,522,551,565,570,596,599,602,605,631,635,655,657
154,157,179,184,189,205,209,215,235,238,241,258,261,267,272,319,321,326,329,345,352,378,398,402,408,410,412,414,428,432,434,458,464,466,490,514,523,525,544,546,549,568,575,594,598,600,605,608,655,659
126,156,179,186,189,208,211,234,242,244,265,274,287,290,296,298,316,322,328,346,351,353,376,382,401,407,412,432,436,442,454,458,467,484,488,491,521,524,547,568,570,572,576,578,594,608,628,632,653,658
128,150,160,180,183,185,215,218,233,235,238,241,271,287,289,302,319,321,323,326,328,352,373,375,383,406,408,427,431,438,461,463,468,470,485,494,517,520,539,541,565,572,574,578,581,598,603,632,653,656
128,153,185,189,204,208,211,215,241,262,265,267,273,287,291,299,345,351,353,356,376,382,402,406,426,436,438,440,442,456,458,461,490,492,521,539,542,544,546,551,565,575,581,596,598,600,604,606,655,659
127,150,157,181,189,210,213,215,232,235,264,266,268,274,288,300,323,326,344,346,352,376,381,383,401,414,427,433,436,440,466,485,488,492,518,539,544,547,549,565,570,578,581,600,603,626,629,632,652,686
154,157,179,184,189,205,209,215,235,238,241,261,267,272,319,321,326,329,345,352,378,398,402,408,410,412,414,428,432,434,458,464,466,490,514,523,525,544,549,568,575,594,598,601,605,608,630,652,655,659
128,153,184,188,205,234,238,242,244,263,268,274,287,294,297,316,319,345,351,354,356,380,402,404,406,436,438,441,454,456,458,462,467,488,514,521,524,539,547,569,571,573,578,594,603,626,628,635,657,660
155,158,179,209,212,214,216,233,235,238,268,270,272,274,287,318,321,324,326,344,347,350,356,380,382,398,404,414,429,434,436,438,460,468,485,490,516,520,539,550,571,573,581,597,602,627,631,634,653,656
155,159,181,184,204,210,214,216,234,240,265,270,290,294,302,320,327,344,346,351,353,370,402,404,409,411,435,442,456,458,461,492,494,496,514,517,526,543,546,566,568,575,578,601,604,627,635,653,657,659
127,150,157,181,189,210,213,215,232,235,264,266,268,274,288,300,323,326,344,346,352,376,381,383,401,414,427,433,436,440,466,485,488,492,518,539,544,547,549,565,570,578,581,600,603,626,629,632,652,686
154,157,179,184,189,205,209,215,235,238,241,261,267,272,319,321,326,329,345,352,378,398,402,408,410,412,414,428,432,434,458,464,466,490,514,523,525,544,549,568,575,594,598,601,605,608,630,652,655,659
128,153,184,188,205,234,238,242,244,263,268,274,287,294,297,316,319,345,351,354,356,380,402,404,406,436,438,441,454,456,458,462,467,488,514,521,524,539,547,569,571,573,578,594,603,626,628,635,657,660
155,158,179,209,212,214,216,233,235,238,268,270,272,274,287,318,321,324,326,344,347,350,356,380,382,398,404,414,429,434,436,438,460,468,485,490,516,520,539,550,571,573,581,597,602,627,631,634,653,656
155,159,181,184,204,210,214,216,234,240,265,270,290,294,302,320,327,344,346,351,353,370,402,404,409,411,435,442,456,458,461,492,494,496,514,517,526,543,546,566,568,575,578,601,604,627,635,653,657,659
