7,10,20,25,31,39,61,70,72,75
0,1,6,7,8,24,42,56,60,64
0,4,7,8,28,29,32,56,64,76
7,20,24,32,42,48,55,64,71,75
0,7,17,20,37,38,42,56,63,73
4,7,9,14,23,24,46,62,63,65
3,4,7,9,17,24,31,46,62,65
3,7,9,15,16,31,42,46,49,76
1,3,4,7,10,24,31,46,60,63
1,3,4,7,9,15,16,35,46,76
3,4,7,24,28,31,32,46,49,63
3,4,7,16,17,24,31,46,65,76
7,10,16,17,24,25,31,46,62,63
3,4,7,9,23,24,25,46,66,76
4,7,9,14,20,23,31,34,62,63
1,4,7,9,19,32,36,44,46,63
4,7,9,10,16,24,31,44,65,76
4,7,9,15,17,31,46,62,63,76
0,3,4,7,23,24,31,38,48,63
3,4,7,9,17,24,25,46,49,76
4,7,9,14,23,24,46,62,63,65
3,4,7,9,17,24,31,46,62,65
3,7,9,15,16,31,42,46,49,76
1,3,4,7,10,24,31,46,60,63
1,3,4,7,9,15,16,35,46,76
3,4,7,24,28,31,32,46,49,63
3,4,7,16,17,24,31,46,65,76
7,10,16,17,24,25,31,46,62,63
3,4,7,9,23,24,25,46,66,76
4,7,9,14,20,23,31,34,62,63
4,7,9,14,23,24,46,62,63,65
3,4,7,9,17,24,31,46,62,65
3,7,9,15,16,31,42,46,49,76
1,3,4,7,10,24,31,46,60,63
1,3,4,7,9,15,16,35,46,76
4,7,9,14,23,24,46,62,63,65
3,4,7,9,17,24,31,46,62,65
3,7,9,15,16,31,42,46,49,76
1,3,4,7,10,24,31,46,60,63
1,3,4,7,9,15,16,35,46,76
1,4,7,9,19,32,36,44,46,63
4,7,9,10,16,24,31,44,65,76
4,7,9,15,17,31,46,62,63,76
0,3,4,7,23,24,31,38,48,63
3,4,7,9,17,24,25,46,49,76
1,4,7,9,19,32,36,44,46,63
4,7,9,10,16,24,31,44,65,76
4,7,9,15,17,31,46,62,63,76
0,3,4,7,23,24,31,38,48,63
3,4,7,9,17,24,25,46,49,76
4,7,9,14,23,24,46,62,63,65
3,4,7,9,17,24,31,46,62,65
3,7,9,15,16,31,42,46,49,76
1,3,4,7,10,24,31,46,60,63
1,3,4,7,9,15,16,35,46,76
4,7,14,23,24,34,46,62,63,65
3,4,7,9,17,24,31,46,62,65
1,3,9,15,16,20,23,31,46,49
1,3,4,7,10,24,31,46,60,63
1,3,4,15,16,28,35,46,49,63
1,4,7,9,20,23,24,32,46,63
4,7,9,10,17,20,24,31,46,62
3,7,9,16,24,31,32,46,49,76
0,4,7,10,20,24,31,32,46,63
1,3,4,7,9,16,17,32,46,76
4,7,9,14,23,24,46,62,63,65
3,4,7,9,17,24,31,46,62,65
3,7,9,15,16,31,42,46,49,76
1,3,4,7,10,24,31,46,60,63
1,3,4,7,9,15,16,35,46,76
4,7,9,14,23,24,46,62,63,65
3,4,7,9,17,24,31,46,62,65
3,7,9,15,16,31,42,46,49,76
1,3,4,7,10,24,31,46,60,63
1,3,4,7,9,15,16,35,46,76
4,7,9,14,23,24,46,62,63,65
3,4,7,9,17,24,31,46,62,65
3,7,9,15,16,31,42,46,49,76
1,3,4,7,10,24,31,46,60,63
1,3,4,7,9,15,16,35,46,76
