112,241,327,346,423,450,495,564,594,610,795,806,850,903,942,947,1305,1374,1420,1564,1678,1721,1866,1930,2025,2134,2135,2162,2310,2349,2371,2484,2507,2543,2550,2581,2669,2786,2792,2897,2906,2912,2924,3233,3239,3265,3317,3348,3349,3487,3491,3524,3573,3757,3888,3935,3936,4051,4059,4102,4103,4193,4296,4327
49,106,218,257,323,346,350,430,450,463,495,546,564,594,835,838,850,1052,1342,1458,1474,1563,1571,1734,1847,1865,2025,2049,2247,2310,2372,2381,2484,2491,2506,2672,2800,2808,2906,3062,3097,3231,3265,3317,3361,3370,3492,3493,3494,3628,3634,3656,3680,3726,3772,3888,3936,4047,4102,4103,4138,4277,4296,4349
34,38,184,198,346,564,838,850,866,896,1020,1021,1125,1126,1242,1414,1563,1716,1769,1903,1918,1924,2031,2033,2055,2061,2071,2180,2197,2416,2480,2503,2545,2550,2633,2646,2738,2764,2774,2786,2906,2907,2912,3169,3236,3239,3342,3348,3462,3487,3634,3636,3656,3663,3757,3888,4047,4066,4102,4103,4283,4293,4296,4313
34,145,181,236,254,257,293,323,346,371,395,564,569,594,757,838,850,947,994,1109,1134,1420,1423,1589,1628,1716,1736,1847,1903,1911,2024,2025,2055,2134,2201,2484,2514,2550,2698,2786,2906,2910,2912,2957,2991,3042,3093,3159,3180,3228,3229,3239,3313,3348,3361,3654,3888,3936,4102,4103,4135,4277,4296,4349
145,293,323,346,350,394,453,564,806,850,947,973,977,1109,1134,1379,1420,1563,1641,1722,1726,1737,1769,1847,1903,1919,2024,2134,2196,2197,2506,2545,2550,2623,2647,2906,3169,3239,3348,3349,3356,3361,3370,3380,3459,3462,3487,3492,3494,3502,3634,3677,3766,3936,4051,4081,4101,4103,4222,4296,4310,4327,4361,4377
192,241,344,386,504,602,629,789,835,876,955,1117,1180,1210,1256,1332,1407,1483,1588,1628,1642,1709,1746,2046,2101,2191,2362,2480,2514,2517,2551,2581,2612,2669,2688,2773,2828,2972,3088,3097,3121,3232,3233,3268,3291,3300,3313,3343,3348,3573,3598,3677,3691,3696,3874,3888,3906,4018,4038,4045,4088,4119,4210,4358
78,157,207,267,293,300,320,440,487,515,556,625,669,877,955,1139,1179,1342,1528,1699,1714,1820,1839,1861,1865,1909,1957,2020,2043,2057,2062,2217,2326,2347,2402,2416,2484,2548,2611,2644,2711,2879,2890,2972,3088,3156,3268,3300,3363,3371,3428,3518,3573,3640,3648,3733,3857,3871,4101,4119,4175,4210,4347,4377
34,145,192,207,241,368,423,498,505,669,736,753,816,937,940,1042,1179,1194,1269,1348,1410,1427,1458,1606,1686,1703,1836,1918,1919,1950,2135,2147,2362,2619,2666,2847,2899,2907,2941,3077,3086,3088,3097,3140,3283,3300,3313,3363,3368,3399,3487,3573,3663,3673,3746,3871,4038,4119,4134,4210,4217,4270,4327,4355
34,145,157,168,207,394,401,423,487,604,733,736,761,791,900,997,1117,1234,1264,1315,1407,1459,1721,2362,2548,2612,2641,2645,2664,2688,2769,2828,2875,2976,3011,3088,3097,3120,3130,3140,3162,3229,3317,3363,3371,3402,3404,3573,3619,3638,3640,3781,3793,3874,3962,3965,4018,4058,4059,4101,4119,4158,4189,4431
34,207,298,311,487,532,536,556,584,594,604,629,736,758,866,983,1328,1407,1410,1496,1575,1628,1683,1977,2045,2077,2226,2296,2466,2584,2630,2643,2645,2647,2709,2797,2899,2957,2972,3004,3063,3088,3140,3229,3300,3313,3349,3384,3402,3573,3604,3758,3759,3786,3793,3871,3906,3988,3994,4038,4083,4158,4217,4327
192,241,344,386,504,602,629,789,835,876,955,1117,1180,1210,1256,1332,1407,1483,1588,1628,1642,1709,1746,2046,2101,2191,2362,2480,2514,2517,2551,2581,2612,2669,2688,2773,2828,2972,3088,3097,3121,3232,3233,3268,3291,3300,3313,3343,3348,3573,3598,3677,3691,3696,3874,3888,3906,4018,4038,4045,4088,4119,4210,4358
78,157,207,267,293,300,320,440,487,515,556,625,669,877,955,1139,1179,1342,1528,1699,1714,1820,1839,1861,1865,1909,1957,2020,2043,2057,2062,2217,2326,2347,2402,2416,2484,2548,2611,2644,2711,2879,2890,2972,3088,3156,3268,3300,3363,3371,3428,3518,3573,3640,3648,3733,3857,3871,4101,4119,4175,4210,4347,4377
34,145,192,207,241,368,423,498,505,669,736,753,816,937,940,1042,1179,1194,1269,1348,1410,1427,1458,1606,1686,1703,1836,1918,1919,1950,2135,2147,2362,2619,2666,2847,2899,2907,2941,3077,3086,3088,3097,3140,3283,3300,3313,3363,3368,3399,3487,3573,3663,3673,3746,3871,4038,4119,4134,4210,4217,4270,4327,4355
34,145,157,168,207,394,401,423,487,604,733,736,761,791,900,997,1117,1234,1264,1315,1407,1459,1721,2362,2548,2612,2641,2645,2664,2688,2769,2828,2875,2976,3011,3088,3097,3120,3130,3140,3162,3229,3317,3363,3371,3402,3404,3573,3619,3638,3640,3781,3793,3874,3962,3965,4018,4058,4059,4101,4119,4158,4189,4431
